 Rubin Kazan (2),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,GS,NP,NP,NP,NP,NP,NP
 Rostov (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS
 GREECE (30),(0),(0),(1),(1),(0),(1),(2),(1),(2),(2),(2),(3),(2),(2),(2),(1),(1),(1),(1),(1),(1),(1),(1),(1),(0)
 Olympiacos (17),NP,NP,NP,NP,NP,GS,QF,GS,GS,GS,GS,GS,GS,GS,GS,R16,NP,R16,NP,GS,GS,R16,GS,GS,NP
 Panathinaikos (9),NP,NP,NP,SF,NP,NP,GS,NP,GS2,QF,NP,GS,GS,GS,NP,NP,R16,NP,GS,NP,NP,NP,NP,NP,NP
 AEK Athens (4),NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,GS,GS,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 TURKEY (28),(0),(1),(1),(0),(1),(2),(1),(1),(2),(2),(1),(2),(1),(1),(1),(2),(1),(1),(1),(1),(1),(1),(1),(1),(1)
 Galatasaray (14),NP,GS,GS,NP,NP,GS,GS,GS,QF,GS2,GS,GS,NP,NP,GS,NP,NP,NP,NP,NP,QF,R16,GS,GS,NP
 Fenerbahçe (6),NP,NP,NP,NP,GS,NP,NP,NP,NP,GS,NP,NP,GS,GS,NP,QF,GS,NP,NP,NP,NP,NP,NP,NP,NP
 Beşiktaş (6),NP,NP,NP,NP,NP,GS,NP,NP,GS,NP,NP,GS,NP,NP,NP,GS,NP,GS,NP,NP,NP,NP,NP,NP,GS
 Bursaspor (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP
 Trabzonspor (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP
Club (# of participations),92–93,93–94,94–95,95–96,96–97,97–98,98–99,99–00,00–01,01–02,02–03,03–04,04–05,05–06,06–07,07–08,08–09,09–10,10–11,11–12,12–13,13–14,14–15,15–16,16–17
 UKRAINE (27),(0),(0),(1),(0),(0),(1),(1),(1),(2),(1),(1),(1),(2),(0),(2),(2),(2),(1),(1),(1),(2),(1),(1),(2),(1)
 Dynamo Kyiv (16),NP,NP,GS,NP,NP,QF,SF,GS2,GS,GS,GS,GS,GS,NP,GS,GS,GS,GS,NP,NP,GS,NP,NP,R16,GS
 Shakhtar Donetsk (11),NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,GS,NP,GS,GS,GS,NP,QF,GS,R16,GS,R16,GS,NP
 BELGIUM (21),(1),(1),(1),(0),(0),(1),(0),(0),(1),(1),(2),(2),(1),(2),(1),(0),(0),(1),(0),(1),(1),(1),(1),(1),(1)
 Anderlecht (11),NP,GS,GS,NP,NP,NP,NP,NP,GS2,GS,NP,GS,GS,GS,GS,NP,NP,NP,NP,NP,GS,GS,GS,NP,NP
 Club Brugge (5),GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,GS,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS
 Genk (2),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP
 Lierse (1),NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Standard Liège (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP
 Gent (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,R16,NP
 SCOTLAND (19),(1),(0),(0),(1),(1),(0),(0),(1),(1),(1),(0),(2),(1),(1),(1),(2),(1),(1),(1),(0),(1),(1),(0),(0),(1)
 Rangers (10),GS,NP,NP,GS,GS,NP,NP,GS,GS,NP,NP,GS,NP,R16,NP,GS,NP,GS,GS,NP,NP,NP,NP,NP,NP
 Celtic (9),NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,GS,GS,NP,R16,R16,GS,NP,NP,NP,R16,GS,NP,NP,GS
 ROMANIA (12),(0),(0),(1),(1),(1),(0),(0),(0),(0),(0),(0),(0),(0),(0),(1),(1),(2),(1),(1),(1),(1),(1),(0),(0),(0)
 Steaua București (7),NP,NP,GS,GS,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,GS,GS,NP,NP,NP,NP,GS,NP,NP,NP
 CFR Cluj (3),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,GS,NP,GS,NP,NP,NP,NP
 Unirea Urziceni (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP
 Oțelul Galați (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP
 NORWAY (12),(0),(0),(0),(1),(1),(1),(1),(2),(1),(1),(1),(0),(1),(1),(0),(1),(0),(0),(0),(0),(0),(0),(0),(0),(0)
 Rosenborg (11),NP,NP,NP,GS,QF,GS,GS,GS2,GS,GS,GS,NP,GS,GS,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Molde (1),NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 SWITZERLAND (11),(0),(0),(0),(1),(1),(0),(0),(0),(0),(0),(1),(0),(0),(1),(0),(0),(1),(1),(1),(1),(0),(1),(1),(0),(1)
 Basel (7),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS2,NP,NP,NP,NP,NP,GS,NP,GS,R16,NP,GS,R16,NP,GS
 Grasshopper (2),NP,NP,NP,GS,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Thun (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Zürich (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP
 CZECH REPUBLIC (10),(0),(0),(0),(0),(0),(1),(0),(1),(1),(1),(0),(1),(1),(1),(0),(1),(0),(0),(0),(1),(0),(1),(0),(0),(0)
 Sparta Prague (7),NP,NP,NP,NP,NP,GS,NP,GS2,GS,GS2,NP,R16,GS,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
 Viktoria Plzeň (2),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,GS,NP,NP,NP
 Slavia Prague (1),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,GS,NP,NP,NP,NP,NP,NP,NP,NP,NP
