,apps,assists,fouls_commited,fouls_suffered,goals,minutes,offsides,own_goals,penalties_in,penalties_mi,red_cards,yellow_cards
Andrea Ranocchia,4,0,4,5,0,360,0,0,0,0,0,0
Andreas Beck,1,1,2,2,0,90,0,0,0,0,0,0
Andreas Constantinou,3,0,3,2,0,270,0,0,0,0,0,0
Andreas Hinkel,3,0,4,1,0,270,0,0,0,0,0,0
Andreas Isaksson,3,0,0,0,0,270,0,0,0,0,0,0
Andreas Johansson,3,0,6,7,0,270,0,0,0,0,0,0
Andreas Laudrup,1,0,2,3,0,90,0,0,0,0,0,0
Andreas Ottl,7,0,10,4,0,630,0,0,0,0,0,0
Andreas Samaris,5,0,7,6,0,450,0,0,0,0,0,0
Andrei Gorbunov,3,0,0,1,0,270,0,0,0,0,0,0
Andrei Prepeliţă,1,0,1,2,0,90,0,0,0,0,0,0
Andreu Fontàs,2,0,0,4,0,180,0,0,0,0,0,0
Andrey Arshavin,12,8,14,11,0,1080,6,0,0,0,0,0
Andriy Dykan,4,0,0,0,0,360,0,0,0,0,0,0
Andriy Nesmachniy,7,0,16,14,0,630,0,0,0,0,0,0
Andriy Pyatov,22,0,0,4,0,1980,0,0,0,0,0,0
Andriy Shevchenko,11,3,21,14,0,990,9,0,0,0,0,0
Andriy Voronin,2,2,1,4,0,180,3,0,0,0,0,0
Andriy Yarmolenko,5,0,3,4,0,450,2,0,0,0,0,0
André Almeida,6,2,10,10,0,540,0,0,0,0,0,0
André Ayew,10,0,14,30,0,900,2,0,0,0,0,0
André Bergdølmo,1,0,0,0,0,90,0,0,0,0,0,0
André Carrillo,1,0,1,2,0,90,0,0,0,0,0,0
André Ooijer,1,0,1,0,0,90,0,0,0,0,0,0
André Santos,4,0,10,6,0,360,0,0,0,0,0,0
André Schürrle,5,0,4,5,0,450,0,0,0,0,0,0
André-Pierre Gignac,4,0,7,3,0,360,8,0,0,0,0,0
Andrés Fernández,1,0,0,0,0,90,0,0,0,0,0,0
Andrés Guardado,5,0,9,13,0,450,1,0,0,0,0,0
Andrés Iniesta,39,14,35,81,0,3510,5,0,0,0,0,0
Andrés Madrid,1,0,3,2,0,90,0,0,0,0,0,0
Andrés Palop,7,0,0,1,0,630,0,0,0,0,0,0
Andy Najar,3,0,3,3,0,270,0,0,0,0,0,0
Anele Ngongca,3,0,1,2,0,270,0,0,0,0,0,0
Anri Khagush,4,0,10,8,0,360,0,0,0,0,0,0
Ante Puljić,1,0,0,0,0,90,1,0,0,0,0,0
Ante Rukavina,3,0,3,2,0,270,2,0,0,0,0,0
Anthony Limbombe,1,0,1,1,0,90,0,0,0,0,0,0
Anthony Martial,2,0,5,0,0,180,0,0,0,0,0,0
Anthony Mounier,4,0,4,4,0,360,1,0,0,0,0,0
Anthony Réveillère,23,0,28,11,0,2070,1,0,0,0,0,0
Anthony Stokes,2,0,3,3,0,180,0,0,0,0,0,0
Anthony Vanden Borre,8,1,12,8,0,720,0,0,0,0,0,0
Antoine Griezmann,6,0,7,9,0,540,3,0,0,0,0,0
Anton Tinnerholm,3,0,3,4,0,270,0,0,0,0,0,0
Antonio Adán,2,0,0,0,0,180,0,0,0,0,0,0
Antonio Barragán,2,0,6,0,0,180,0,0,0,0,0,0
Antonio Cassano,2,0,1,4,0,180,1,0,0,0,0,0
Antonio López,3,0,4,7,0,270,2,0,0,0,0,0
Antonio Nocerino,6,1,12,10,0,540,1,0,0,0,0,0
Antonio Valencia,14,4,30,16,0,1260,7,0,0,0,0,0
Antonis Nikopolidis,11,0,0,2,0,990,0,0,0,0,0,0
Antunes,3,0,0,5,0,270,0,0,0,0,0,0
António Semedo,3,0,6,4,0,270,2,0,0,0,0,0
Anwar El Ghazi,1,0,3,1,0,90,0,0,0,0,0,0
Aquivaldo Mosquera,1,0,0,0,0,90,0,0,0,0,0,0
Arda Turan,9,3,16,18,0,810,3,0,0,0,0,0
Arghus,3,0,4,0,0,270,0,0,0,0,0,0
Ari,6,1,13,12,0,540,1,0,0,0,0,0
Ariel Ibagaza,4,1,5,7,0,360,0,0,0,0,0,0
Arijan Ademi,3,0,4,4,0,270,0,0,0,0,0,0
Aritz Aduriz,4,0,4,8,0,360,4,0,0,0,0,0
Arjan Beqaj,2,0,0,0,0,180,0,0,0,0,0,0
Arjen Robben,24,7,22,64,0,2160,8,0,0,0,0,0
Arkadiusz Głowacki,3,0,7,3,0,270,0,0,0,0,0,0
Arkadiusz Milik,1,1,1,3,0,90,0,0,0,0,0,0
Armand Traoré,1,0,1,1,0,90,0,0,0,0,0,0
Arouna Koné,4,1,3,3,0,360,2,0,0,0,0,0
Artem Kontsevoi,3,0,2,5,0,270,0,0,0,0,0,0
Artem Milevskiy,9,3,27,44,0,810,4,0,0,0,0,0
Artem Radkov,2,0,2,3,0,180,0,0,0,0,0,0
